MP,Party,Intervention,votes,Written_question,Activity
Mr Gavin Shuker,Labour (Co-op),10,23,2,0.14633419941853015
Tulip Siddiq,Labour,31,20,93,1.2817393583474102
David Simpson,Democratic Unionist Party,8,20,20,-0.2793251459224787
Mr Keith Simpson,Conservative,4,23,0,0.10356530889058796
Chris Skidmore,Conservative,35,23,0,0.10356530889058796
Mr Dennis Skinner,Labour,13,22,0,-0.16662781114024144
Andy Slaughter,Labour,39,23,17,0.46710087837809633
Ruth Smeeth,Labour,7,22,1,-0.14524336587627035
Angela Smith,Labour,17,17,9,-1.3251334039186486
Cat Smith,Labour,25,22,88,1.7152033720892137
Chloe Smith,Conservative,39,23,0,0.10356530889058796
Eleanor Smith,Labour,6,22,0,-0.16662781114024144
Henry Smith,Conservative,25,21,21,0.012252419372321827
Jeff Smith,Labour,19,22,13,0.11136997729138262
Julian Smith,Conservative,0,23,0,0.10356530889058796
Laura Smith,Labour,7,22,0,-0.16662781114024144
Nick Smith,Labour,15,17,21,-1.0685200607509957
Owen Smith,Labour,5,22,0,-0.16662781114024144
Royston Smith,Conservative,5,23,86,1.942627601592101
Karin Smyth,Labour,18,22,9,0.02583219623549829
Gareth Snell,Labour (Co-op),21,22,10,0.047216641499469386
Sir Nicholas Soames,Conservative,13,22,27,0.4107522109869778
Alex Sobel,Labour (Co-op),9,22,6,-0.038321139556414974
